stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
Nobymalmsvägen,2,88.90325311687802,9022005000087001,9022005000087002
Herrbeta by,2,88.65338270288196,9022005000236001,9022005000236002
Glyttinge,2,88.61236625454336,9022005001439002,9022005001439001
Sandbäckstorp,2,88.55378929494049,9022005003026002,9022005003026001
Tinnerbäcksbadet,2,87.87336833660324,9022005000042002,9022005000042001
Betania,2,87.72299285454646,9022005003040002,9022005003040001
Lunnatorp,2,87.70458377946476,9022005003961002,9022005003961001
Ingmarstorp,2,87.4453542894855,9022005001826001,9022005001826002
Mäster Mattias väg,2,87.38236218954124,9022005001257001,9022005001257002
Vist vägkors,2,87.37715694025934,9022005002955002,9022005002955001
Ryd centrum,2,87.17747601967383,9022005000214001,9022005000214002
Asks kyrka,2,86.71314129828917,9022005000365002,9022005000365001
Kristineberg,2,86.51637767251347,9022005002722002,9022005002722001
Kungskvarn,2,86.1751878351719,9022005002835001,9022005002835002
Mellangården,2,86.02300052428521,9022005001411002,9022005001411001
Vikingstad station,5,85.8077316803358,9022005004136006,9022005004136005
Arkösunds hamn,2,85.7942198011678,9022005000111001,9022005000111002
Skrukeby,2,85.71938654302876,9022005003342002,9022005003342001
Prästgårdsvägen,2,85.69075162220805,9022005001683002,9022005001683001
Kristbergs kyrka,2,85.28335847727757,9022005002787002,9022005002787001
Oxhagsvägen,2,84.59169211653108,9022005062001001,9022005062001002
Forskningsbyn,2,84.55083154660686,9022005003847001,9022005003847002
Kostenhult,2,84.40220299559321,9022005003117001,9022005003117002
Kohagsvägen,2,84.31347175913659,9022005002693001,9022005002693002
Ringstadmon,2,84.23872961369048,9022005001205001,9022005001205002
Mjölbyvägen,2,84.18781233598189,9022005003557001,9022005003557002
Fredriksdalsgatan,2,83.96580538887163,9022005001114001,9022005001114002
Vadstena brandstation,2,83.75576337500144,9022005002403002,9022005002403001
Vreta klosters kyrka,2,83.60910854644979,9022005000266002,9022005000266001
Hellgrens väg,2,83.15094991023521,9022005002694001,9022005002694002
Höjdvägen Kimstad,2,82.99123254179067,9022005001509001,9022005001509002
Sandby,2,82.95704352211297,9022005002406002,9022005002406001
Krokvägen,2,82.94737673694017,9022005002325002,9022005002325001
Berggården,2,82.93001139690509,9022005002980001,9022005002980002
Ekholmsskolan,2,82.89306139325666,9022005001325001,9022005001325002
Skrukarp,2,82.39639119366181,9022005002792002,9022005002792001
Missmyra Norra,2,82.03608497417393,9022005002569002,9022005002569001
Enebacken,2,81.6027952001694,9022005002968002,9022005002968001
Dalamon,2,81.34974895318608,9022005000252001,9022005000252002
Ring,2,81.32533861553769,9022005000284001,9022005000284002
Kryddvägen,2,81.24288804470038,9022005001329001,9022005001329002
Norra Hornstäve,2,81.22379009521994,9022005003069002,9022005003069001
Linneberga,2,80.72057090788924,9022005002711001,9022005002711002
Äsplunda,2,80.70569067866371,9022005003154002,9022005003154001
Ljunghagsvägen,2,80.70480804996924,9022005000422002,9022005000422001
Skeppstad,2,80.46811006175288,9022005000207002,9022005000207001
Yxhultsvägen,2,79.7107071474265,9022005003201002,9022005003201001
Hättorp,2,79.62329416466237,9022005000371002,9022005000371001
Kullagatans vägkors,2,79.46252827140668,9022005003080002,9022005003080001
Gottenviks vägkors,2,79.45953905422341,9022005001700002,9022005001700001
Sjöliden,2,79.13331461674562,9022005002691001,9022005002691002
Ängstugan,2,79.09358856851766,9022005002090002,9022005002090001
Seglargatan,2,79.01974810421672,9022005001058001,9022005001058002
