derived_transition_activity,old_trip_id,next_trip_id,old_route_short_name,next_route_short_name,route_short_name_changed,old_direction_id,next_direction_id,time_gap_minutes,old_last_stop_sequence,next_first_stop_sequence,old_last_stop_name,next_first_stop_name,old_last_stop_lat,old_last_stop_lon,transition_distance_m,transition_distance_km,threshold_m
repositioning_pause,tr03_720,tr03_802,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_723,tr03_800,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_735,tr03_824,3,3,False,0,0,64.06666666666666,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_741,tr03_803,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_742,tr03_771,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_743,tr03_779,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_771,tr03_777,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_772,tr03_775,3,3,False,0,0,69.03333333333333,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_773,tr03_725,3,3,False,0,0,68.73333333333333,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_774,tr03_778,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_776,tr03_892,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_777,tr03_817,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_778,tr03_792,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_779,tr03_894,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_792,tr03_801,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
